春日山	名詞,固有名詞,地域,一般,*,*,春日山,カスガヤマ,カスガヤマ
原始	名詞,一般,*,*,*,*,原始,ゲンシ,ゲンシ
林	名詞,接尾,一般,*,*,*,林,リン,リン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
若木	名詞,一般,*,*,*,*,若木,ワカギ,ワカギ
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
芽	名詞,一般,*,*,*,*,芽,メ,メ
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
食い荒らさ	動詞,自立,*,*,五段・サ行,未然形,食い荒らす,クイアラサ,クイアラサ
れる	動詞,接尾,*,*,一段,基本形,れる,レル,レル
被害	名詞,一般,*,*,*,*,被害,ヒガイ,ヒガイ
も	助詞,係助詞,*,*,*,*,も,モ,モ
多発	名詞,サ変接続,*,*,*,*,多発,タハツ,タハツ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
おり	動詞,非自立,*,*,五段・ラ行,連用形,おる,オリ,オリ
、	記号,読点,*,*,*,*,、,、,、
昨年度	名詞,副詞可能,*,*,*,*,昨年度,サクネンド,サクネンド
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
農地	名詞,一般,*,*,*,*,農地,ノウチ,ノーチ
２	名詞,数,*,*,*,*,２,ニ,ニ
８	名詞,数,*,*,*,*,８,ハチ,ハチ
ヘクタール	名詞,接尾,助数詞,*,*,*,ヘクタール,ヘクタール,ヘクタール
で	助詞,格助詞,一般,*,*,*,で,デ,デ
被害	名詞,一般,*,*,*,*,被害,ヒガイ,ヒガイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
出	動詞,自立,*,*,一段,連用形,出る,デ,デ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
いる	動詞,非自立,*,*,一段,基本形,いる,イル,イル
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
2013	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
12	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
18	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
20	名詞,数,*,*,*,*,*
時	名詞,接尾,助数詞,*,*,*,時,ジ,ジ
24	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
  	記号,一般,*,*,*,*,*
読売新聞	名詞,固有名詞,組織,*,*,*,読売新聞,ヨミウリシンブン,ヨミウリシンブン
）	記号,括弧閉,*,*,*,*,）,）,）
最新	名詞,一般,*,*,*,*,最新,サイシン,サイシン
主要	名詞,形容動詞語幹,*,*,*,*,主要,シュヨウ,シュヨー
ニュース	名詞,一般,*,*,*,*,ニュース,ニュース,ニュース
10	名詞,数,*,*,*,*,*
本	名詞,接尾,助数詞,*,*,*,本,ホン,ホン
 	記号,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
 	記号,一般,*,*,*,*,*
YOMIURI	名詞,固有名詞,組織,*,*,*,*
ONLINE	名詞,一般,*,*,*,*,*
トップ	名詞,一般,*,*,*,*,トップ,トップ,トップ
EOS
"
"フィット	名詞,サ変接続,*,*,*,*,フィット,フィット,フィット
Ｈ	記号,アルファベット,*,*,*,*,Ｈ,エイチ,エイチ
Ｖ	記号,アルファベット,*,*,*,*,Ｖ,ブイ,ブイ
また	接続詞,*,*,*,*,*,また,マタ,マタ
リコール	名詞,サ変接続,*,*,*,*,リコール,リコール,リコール
…	記号,一般,*,*,*,*,…,…,…
エンジン	名詞,一般,*,*,*,*,エンジン,エンジン,エンジン
停止	名詞,サ変接続,*,*,*,*,停止,テイシ,テイシ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
恐れ	名詞,一般,*,*,*,*,恐れ,オソレ,オソレ
　	記号,空白,*,*,*,*,　,　,　
ホンダ	名詞,固有名詞,組織,*,*,*,ホンダ,ホンダ,ホンダ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
２	名詞,数,*,*,*,*,２,ニ,ニ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
新型	名詞,一般,*,*,*,*,新型,シンガタ,シンガタ
フィット	名詞,サ変接続,*,*,*,*,フィット,フィット,フィット
の	助詞,連体化,*,*,*,*,の,ノ,ノ
ハイブリッド	名詞,一般,*,*,*,*,ハイブリッド,ハイブリッド,ハイブリッド
車	名詞,接尾,一般,*,*,*,車,シャ,シャ
（	記号,括弧開,*,*,*,*,（,（,（
Ｈ	記号,アルファベット,*,*,*,*,Ｈ,エイチ,エイチ
Ｖ	記号,アルファベット,*,*,*,*,Ｖ,ブイ,ブイ
）	記号,括弧閉,*,*,*,*,）,）,）
３	名詞,数,*,*,*,*,３,サン,サン
万	名詞,数,*,*,*,*,万,マン,マン
６	名詞,数,*,*,*,*,６,ロク,ロク
１	名詞,数,*,*,*,*,１,イチ,イチ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
台	名詞,接尾,助数詞,*,*,*,台,ダイ,ダイ
（	記号,括弧開,*,*,*,*,（,（,（
今年	名詞,副詞可能,*,*,*,*,今年,コトシ,コトシ
７月	名詞,副詞可能,*,*,*,*,７月,シチガツ,シチガツ
〜	記号,一般,*,*,*,*,〜,〜,〜
１２月	名詞,副詞可能,*,*,*,*,１２月,ジュウニガツ,ジューニガツ
製造	名詞,サ変接続,*,*,*,*,製造,セイゾウ,セイゾー
）	記号,括弧閉,*,*,*,*,）,）,）
の	助詞,連体化,*,*,*,*,の,ノ,ノ
リコール	名詞,サ変接続,*,*,*,*,リコール,リコール,リコール
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
国土	名詞,一般,*,*,*,*,国土,コクド,コクド
交通省	名詞,固有名詞,組織,*,*,*,交通省,コウツウショウ,コーツーショー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
届け出	動詞,自立,*,*,一段,連用形,届け出る,トドケデ,トドケデ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
init	名詞,一般,*,*,*,*,*
({	名詞,サ変接続,*,*,*,*,*
site	名詞,一般,*,*,*,*,*
:'	名詞,サ変接続,*,*,*,*,*
NATIONAL	名詞,一般,*,*,*,*,*
',	名詞,サ変接続,*,*,*,*,*
area	名詞,一般,*,*,*,*,*
:'	名詞,サ変接続,*,*,*,*,*
P	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
RECTANGLE	名詞,一般,*,*,*,*,*
',	名詞,サ変接続,*,*,*,*,*
width	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
300	名詞,数,*,*,*,*,*
,	名詞,サ変接続,*,*,*,*,*
height	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
250	名詞,数,*,*,*,*,*
,	名詞,サ変接続,*,*,*,*,*
admax	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
1	名詞,数,*,*,*,*,*
});	名詞,サ変接続,*,*,*,*,*
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
cAds	名詞,一般,*,*,*,*,*
();	名詞,サ変接続,*,*,*,*,*
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
dBanner	名詞,一般,*,*,*,*,*
(	名詞,サ変接続,*,*,*,*,*
0	名詞,数,*,*,*,*,*
,'	名詞,サ変接続,*,*,*,*,*
prect	名詞,一般,*,*,*,*,*
');	名詞,サ変接続,*,*,*,*,*
　	記号,空白,*,*,*,*,　,　,　
国交	名詞,一般,*,*,*,*,国交,コッコウ,コッコー
省	名詞,接尾,一般,*,*,*,省,ショウ,ショー
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
よる	動詞,自立,*,*,五段・ラ行,基本形,よる,ヨル,ヨル
と	助詞,接続助詞,*,*,*,*,と,ト,ト
、	記号,読点,*,*,*,*,、,、,、
自動	名詞,一般,*,*,*,*,自動,ジドウ,ジドー
変速	名詞,サ変接続,*,*,*,*,変速,ヘンソク,ヘンソク
機	名詞,接尾,一般,*,*,*,機,キ,キ
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
制御	名詞,サ変接続,*,*,*,*,制御,セイギョ,セイギョ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
コンピューター	名詞,一般,*,*,*,*,コンピューター,コンピューター,コンピューター
の	助詞,連体化,*,*,*,*,の,ノ,ノ
プログラム	名詞,サ変接続,*,*,*,*,プログラム,プログラム,プログラム
ミス	名詞,サ変接続,*,*,*,*,ミス,ミス,ミス
など	助詞,副助詞,*,*,*,*,など,ナド,ナド
により	助詞,格助詞,連語,*,*,*,により,ニヨリ,ニヨリ
、	記号,読点,*,*,*,*,、,、,、
低速	名詞,一般,*,*,*,*,低速,テイソク,テイソク
時	名詞,接尾,副詞可能,*,*,*,時,ジ,ジ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
エンジン	名詞,一般,*,*,*,*,エンジン,エンジン,エンジン
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
停止	名詞,サ変接続,*,*,*,*,停止,テイシ,テイシ
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ
、	記号,読点,*,*,*,*,、,、,、
発進	名詞,サ変接続,*,*,*,*,発進,ハッシン,ハッシン
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
後退	名詞,サ変接続,*,*,*,*,後退,コウタイ,コータイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
でき	動詞,自立,*,*,一段,未然形,できる,デキ,デキ
なく	助動詞,*,*,*,特殊・ナイ,連用テ接続,ない,ナク,ナク
なっ	動詞,自立,*,*,五段・ラ行,連用タ接続,なる,ナッ,ナッ
たり	助詞,並立助詞,*,*,*,*,たり,タリ,タリ
する	動詞,自立,*,*,サ変・スル,基本形,する,スル,スル
恐れ	名詞,一般,*,*,*,*,恐れ,オソレ,オソレ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
ある	動詞,自立,*,*,五段・ラ行,基本形,ある,アル,アル
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
同車	名詞,サ変接続,*,*,*,*,同車,ドウシャ,ドーシャ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
Ｈ	記号,アルファベット,*,*,*,*,Ｈ,エイチ,エイチ
Ｖ	記号,アルファベット,*,*,*,*,Ｖ,ブイ,ブイ
で	助詞,格助詞,一般,*,*,*,で,デ,デ
世界	名詞,一般,*,*,*,*,世界,セカイ,セカイ
最高	名詞,一般,*,*,*,*,最高,サイコウ,サイコー
水準	名詞,一般,*,*,*,*,水準,スイジュン,スイジュン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
燃費	名詞,一般,*,*,*,*,燃費,ネンピ,ネンピ
性能	名詞,一般,*,*,*,*,性能,セイノウ,セイノー
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
掲げ	動詞,自立,*,*,一段,連用形,掲げる,カカゲ,カカゲ
て	助詞,接続助詞,*,*,*,*,て,テ,テ
９月	名詞,副詞可能,*,*,*,*,９月,クガツ,クガツ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
発売	名詞,サ変接続,*,*,*,*,発売,ハツバイ,ハツバイ
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
が	助詞,接続助詞,*,*,*,*,が,ガ,ガ
、	記号,読点,*,*,*,*,、,、,、
１０月	名詞,副詞可能,*,*,*,*,１０月,ジュウガツ,ジューガツ
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
も	助詞,係助詞,*,*,*,*,も,モ,モ
４	名詞,数,*,*,*,*,４,ヨン,ヨン
８	名詞,数,*,*,*,*,８,ハチ,ハチ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
台	名詞,接尾,助数詞,*,*,*,台,ダイ,ダイ
余り	名詞,接尾,一般,*,*,*,余り,アマリ,アマリ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
リコール	名詞,サ変接続,*,*,*,*,リコール,リコール,リコール
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
問い合わせ	名詞,サ変接続,*,*,*,*,問い合わせ,トイアワセ,トイアワセ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
同社	名詞,一般,*,*,*,*,同社,ドウシャ,ドーシャ
お客様	名詞,一般,*,*,*,*,お客様,オキャクサマ,オキャクサマ
相談	名詞,サ変接続,*,*,*,*,相談,ソウダン,ソーダン
センター	名詞,一般,*,*,*,*,センター,センター,センター
（	記号,括弧開,*,*,*,*,（,（,（
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
１	名詞,数,*,*,*,*,１,イチ,イチ
２	名詞,数,*,*,*,*,２,ニ,ニ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
・	名詞,数,*,*,*,*,・,・,・
１	名詞,数,*,*,*,*,１,イチ,イチ
１	名詞,数,*,*,*,*,１,イチ,イチ
２	名詞,数,*,*,*,*,２,ニ,ニ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
１	名詞,数,*,*,*,*,１,イチ,イチ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
）	記号,括弧閉,*,*,*,*,）,）,）
。	記号,句点,*,*,*,*,。,。,。
（	記号,括弧開,*,*,*,*,（,（,（
2013	名詞,数,*,*,*,*,*
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
12	名詞,数,*,*,*,*,*
月	名詞,一般,*,*,*,*,月,ツキ,ツキ
20	名詞,数,*,*,*,*,*
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
20	名詞,数,*,*,*,*,*
時	名詞,接尾,助数詞,*,*,*,時,ジ,ジ
11	名詞,数,*,*,*,*,*
分	名詞,接尾,助数詞,*,*,*,分,フン,フン
  	記号,一般,*,*,*,*,*
読売新聞	名詞,固有名詞,組織,*,*,*,読売新聞,ヨミウリシンブン,ヨミウリシンブン
）	記号,括弧閉,*,*,*,*,）,）,）
最新	名詞,一般,*,*,*,*,最新,サイシン,サイシン
主要	名詞,形容動詞語幹,*,*,*,*,主要,シュヨウ,シュヨー
ニュース	名詞,一般,*,*,*,*,ニュース,ニュース,ニュース
10	名詞,数,*,*,*,*,*
本	名詞,接尾,助数詞,*,*,*,本,ホン,ホン
 	記号,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
 	記号,一般,*,*,*,*,*
YOMIURI	名詞,固有名詞,組織,*,*,*,*
ONLINE	名詞,一般,*,*,*,*,*
トップ	名詞,一般,*,*,*,*,トップ,トップ,トップ
EOS
"
"偽造	名詞,サ変接続,*,*,*,*,偽造,ギゾウ,ギゾー
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
１	名詞,数,*,*,*,*,１,イチ,イチ
万	名詞,数,*,*,*,*,万,マン,マン
円	名詞,接尾,助数詞,*,*,*,円,エン,エン
銀貨	名詞,一般,*,*,*,*,銀貨,ギンカ,ギンカ
、	記号,読点,*,*,*,*,、,、,、
日銀	名詞,固有名詞,組織,*,*,*,日銀,ニチギン,ニチギン
で	助詞,格助詞,一般,*,*,*,で,デ,デ
１	名詞,数,*,*,*,*,１,イチ,イチ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
枚	名詞,接尾,助数詞,*,*,*,枚,マイ,マイ
見つかる	動詞,自立,*,*,五段・ラ行,基本形,見つかる,ミツカル,ミツカル
　	記号,空白,*,*,*,*,　,　,　
日本銀行	名詞,固有名詞,組織,*,*,*,日本銀行,ニッポンギンコウ,ニッポンギンコー
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
２	名詞,数,*,*,*,*,２,ニ,ニ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
日銀	名詞,固有名詞,組織,*,*,*,日銀,ニチギン,ニチギン
や	助詞,並立助詞,*,*,*,*,や,ヤ,ヤ
取引	名詞,サ変接続,*,*,*,*,取引,トリヒキ,トリヒキ
金融	名詞,一般,*,*,*,*,金融,キンユウ,キンユー
機関	名詞,一般,*,*,*,*,機関,キカン,キカン
に	助詞,格助詞,一般,*,*,*,に,ニ,ニ
持ち込ま	動詞,自立,*,*,五段・マ行,未然形,持ち込む,モチコマ,モチコマ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
貨幣	名詞,一般,*,*,*,*,貨幣,カヘイ,カヘイ
の	助詞,連体化,*,*,*,*,の,ノ,ノ
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
、	記号,読点,*,*,*,*,、,、,、
偽造	名詞,サ変接続,*,*,*,*,偽造,ギゾウ,ギゾー
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
銀貨	名詞,一般,*,*,*,*,銀貨,ギンカ,ギンカ
約	接頭詞,数接続,*,*,*,*,約,ヤク,ヤク
１	名詞,数,*,*,*,*,１,イチ,イチ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
枚	名詞,接尾,助数詞,*,*,*,枚,マイ,マイ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
見つかっ	動詞,自立,*,*,五段・ラ行,連用タ接続,見つかる,ミツカッ,ミツカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
発表	名詞,サ変接続,*,*,*,*,発表,ハッピョウ,ハッピョー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
。	記号,句点,*,*,*,*,。,。,。
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
init	名詞,一般,*,*,*,*,*
({	名詞,サ変接続,*,*,*,*,*
site	名詞,一般,*,*,*,*,*
:'	名詞,サ変接続,*,*,*,*,*
NATIONAL	名詞,一般,*,*,*,*,*
',	名詞,サ変接続,*,*,*,*,*
area	名詞,一般,*,*,*,*,*
:'	名詞,サ変接続,*,*,*,*,*
P	名詞,一般,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
RECTANGLE	名詞,一般,*,*,*,*,*
',	名詞,サ変接続,*,*,*,*,*
width	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
300	名詞,数,*,*,*,*,*
,	名詞,サ変接続,*,*,*,*,*
height	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
250	名詞,数,*,*,*,*,*
,	名詞,サ変接続,*,*,*,*,*
admax	名詞,一般,*,*,*,*,*
:	名詞,サ変接続,*,*,*,*,*
1	名詞,数,*,*,*,*,*
});	名詞,サ変接続,*,*,*,*,*
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
cAds	名詞,一般,*,*,*,*,*
();	名詞,サ変接続,*,*,*,*,*
AD	名詞,一般,*,*,*,*,*
2	名詞,数,*,*,*,*,*
.	名詞,サ変接続,*,*,*,*,*
dBanner	名詞,一般,*,*,*,*,*
(	名詞,サ変接続,*,*,*,*,*
0	名詞,数,*,*,*,*,*
,'	名詞,サ変接続,*,*,*,*,*
prect	名詞,一般,*,*,*,*,*
');	名詞,サ変接続,*,*,*,*,*
　	記号,空白,*,*,*,*,　,　,　
いずれ	名詞,代名詞,一般,*,*,*,いずれ,イズレ,イズレ
も	助詞,係助詞,*,*,*,*,も,モ,モ
昭和	名詞,固有名詞,一般,*,*,*,昭和,ショウワ,ショーワ
天皇	名詞,一般,*,*,*,*,天皇,テンノウ,テンノー
の	助詞,連体化,*,*,*,*,の,ノ,ノ
在位	名詞,サ変接続,*,*,*,*,在位,ザイイ,ザイイ
６	名詞,数,*,*,*,*,６,ロク,ロク
０	名詞,数,*,*,*,*,０,ゼロ,ゼロ
年	名詞,接尾,助数詞,*,*,*,年,ネン,ネン
を	助詞,格助詞,一般,*,*,*,を,ヲ,ヲ
記念	名詞,サ変接続,*,*,*,*,記念,キネン,キネン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
１	名詞,数,*,*,*,*,１,イチ,イチ
万	名詞,数,*,*,*,*,万,マン,マン
円	名詞,接尾,助数詞,*,*,*,円,エン,エン
銀貨	名詞,一般,*,*,*,*,銀貨,ギンカ,ギンカ
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
偽造	名詞,サ変接続,*,*,*,*,偽造,ギゾウ,ギゾー
さ	動詞,自立,*,*,サ変・スル,未然レル接続,する,サ,サ
れ	動詞,接尾,*,*,一段,連用形,れる,レ,レ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
もの	名詞,非自立,一般,*,*,*,もの,モノ,モノ
で	助動詞,*,*,*,特殊・ダ,連用形,だ,デ,デ
、	記号,読点,*,*,*,*,、,、,、
財務省	名詞,固有名詞,組織,*,*,*,財務省,ザイムショウ,ザイムショー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
今月	名詞,副詞可能,*,*,*,*,今月,コンゲツ,コンゲツ
３	名詞,数,*,*,*,*,３,サン,サン
日	名詞,接尾,助数詞,*,*,*,日,ニチ,ニチ
、	記号,読点,*,*,*,*,、,、,、
国際	名詞,一般,*,*,*,*,国際,コクサイ,コクサイ
郵便	名詞,一般,*,*,*,*,郵便,ユウビン,ユービン
の	助詞,連体化,*,*,*,*,の,ノ,ノ
中	名詞,非自立,副詞可能,*,*,*,中,ナカ,ナカ
から	助詞,格助詞,一般,*,*,*,から,カラ,カラ
４	名詞,数,*,*,*,*,４,ヨン,ヨン
６	名詞,数,*,*,*,*,６,ロク,ロク
枚	名詞,接尾,助数詞,*,*,*,枚,マイ,マイ
発見	名詞,サ変接続,*,*,*,*,発見,ハッケン,ハッケン
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
発表	名詞,サ変接続,*,*,*,*,発表,ハッピョウ,ハッピョー
し	動詞,自立,*,*,サ変・スル,連用形,する,シ,シ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
偽造	名詞,サ変接続,*,*,*,*,偽造,ギゾウ,ギゾー
銀貨	名詞,一般,*,*,*,*,銀貨,ギンカ,ギンカ
と	助詞,並立助詞,*,*,*,*,と,ト,ト
特徴	名詞,一般,*,*,*,*,特徴,トクチョウ,トクチョー
が	助詞,格助詞,一般,*,*,*,が,ガ,ガ
同じ	連体詞,*,*,*,*,*,同じ,オナジ,オナジ
と	助詞,格助詞,引用,*,*,*,と,ト,ト
いう	動詞,自立,*,*,五段・ワ行促音便,基本形,いう,イウ,イウ
。	記号,句点,*,*,*,*,。,。,。
　	記号,空白,*,*,*,*,　,　,　
見つかっ	動詞,自立,*,*,五段・ラ行,連用タ接続,見つかる,ミツカッ,ミツカッ
た	助動詞,*,*,*,特殊・タ,基本形,た,タ,タ
偽造	名詞,サ変接続,*,*,*,*,偽造,ギゾウ,ギゾー
銀貨	名詞,一般,*,*,*,*,銀貨,ギンカ,ギンカ
は	助詞,係助詞,*,*,*,*,は,ハ,ワ
、	記号,読点,*,*,*,*,、,、,、
本物	名詞,一般,*,*,*,*,本物,ホンモノ,ホンモノ
